Object Index,Category A,Category B,Category C,C URL
0,Frog,Teapot,Frog Teapot,https://images-na.ssl-images-amazon.com/images/I/41CgwpEB4lL.jpg
1,Pineapple,Pencil Holder,Pineapple Pencil Holder,https://images.anthropologie.com/is/image/Anthropologie/36887149_070_b?$a15-pdp-detail-shot$&hei=900&fit=constrain
2,Gummy,Bandaids,Gummy Bandaids,https://a.dilcdn.com/bl/wp-content/uploads/sites/8/2011/9/scab-candy.jpg
3,Panda,Backpack,Panda Backpack,https://s-media-cache-ak0.pinimg.com/564x/31/67/43/31674352a111895b4291ccd8856a4502.jpg
4,Apple ,Chair,Apple Chair,http://craziestgadgets.com/wp-content/uploads/2010/07/apple-chair-500x375.jpg
5,Hand,Chair,Hand Chair,http://i.ebayimg.com/00/s/NTAwWDUwMA==/z/O14AAOSwiCRUcT30/$_35.JPG?set_id=2
6,Pinnochio,Pencil Sharpener,Pinnochio Pencil Sharpener,http://oddstuffmagazine.com/wp-content/uploads/2011/12/Honest-Boy-Pencil-Sharpener_18400-l-500x333.jpg
7,Pig,Soap Dispenser,Pig Soap Dispenser,https://s-media-cache-ak0.pinimg.com/236x/cc/84/32/cc8432363e25fa88440dd9b5c0860222.jpg
8,Banana,Lighter,Banana Lighter,https://ae01.alicdn.com/kf/HTB1ZSQvJFXXXXXXXpXXq6xXFXXXo/InWholesale-flatable-banana-pendant-open-flame-smoking-lighter-cute-key-pendant-gift-Cigarette-lighters-Free-shipping.jpg
9,Aligator,Oven Mitt,Aligator Ovenmitt,http://media.spokesman.com/photos/2013/01/10/AlligatorOvenMitt.jpg
10,Truck,Tooth Pick Holder,Truck Tooth Pick Holder,https://s-media-cache-ak0.pinimg.com/564x/2c/0b/e5/2c0be50bb85d2a0de9c00e218250e2c9.jpg
11,Car,Cookie,Car Cookie,https://s-media-cache-ak0.pinimg.com/originals/3c/f4/de/3cf4de1553aeb7f0cedc3892d61f3485.jpg
12,Swan,Measuring Cups,Swan Measuring Cups,http://www.notcot.com/images/measuringcup.jpg
13,Pear,Notepad,Pear Notepad,http://www.thegeneralgiftstore.com.au/images/p-Notepad-Perfect-PearB.jpg
14,Dragon,Lamp,Dragon Lamp,https://www.greenearthstores.com/img.php?sku=00211464279&full
15,Gold Charm,Basketball,Gold Basketball Charm,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/2518669_fpx.tif?op_sharpen=1&wid=400&hei=489&fit=fit,1&$filterlrg$"
16,Grass,Bed,Grass Bed,http://www.cepolina.com/photo/art/architecture/furniture/bed/5/bed-grass-velvet-sleeping.jpg
17,Foot,Cracker,Foot Cracker,http://www.cupofsugarpinchofsalt.com/wp-content/uploads/2013/04/CheesyFeetCrackers-small.jpg
18,Shoe,Bottle,Shoe Bottle,https://img0.etsystatic.com/050/0/7490245/il_570xN.663928570_l0is.jpg
19,Dog,Purse,Dog Purse,http://g03.a.alicdn.com/kf/HTB1MYkHIXXXXXXsXXXXq6xXFXXXx/Fashion-women-s-font-b-small-b-font-shari-pie-font-b-dog-b-font-shape.jpg